,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
131,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java,[],51,4,"[(110, 119, 10), (157, 166, 10), (199, 208, 10), (282, 302, 21)]"
132,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,[],3,2,"[(177, 178, 2), (1153, 1153, 1)]"
133,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/keyguard/NumPadKey.java,[],3,1,"[(40, 42, 3)]"
134,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/wm/DisplayRotation.java,[],2,1,"[(70, 71, 2)]"
135,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,[],2,1,"[(85, 86, 2)]"
136,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/notification/NotificationManagerService.java,[],1,1,"[(6815, 6815, 1)]"
137,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,[],3,1,"[(10, 12, 3)]"
138,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,libs/WindowManager/Shell/src/com/android/wm/shell/back/BackAnimationController.java,[],7,3,"[(0, 0, 0), (397, 402, 6), (520, 520, 1)]"
139,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,services/core/java/com/android/server/wm/RootWindowContainer.java,[],17,3,"[(181, 182, 2), (808, 809, 2), (1084, 1096, 13)]"
140,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,libs/WindowManager/Shell/src/com/android/wm/shell/back/BackAnimation.java,[],12,1,"[(50, 61, 12)]"
141,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/shared/src/com/android/systemui/shared/rotation/RotationButtonController.java,[],0,1,"[(0, 0, 0)]"
142,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManager.java,[],1,1,"[(374, 374, 1)]"
143,58a632b15f68b88e6fd57c317d348a26a7ec2c6f,packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSIconViewImpl.java,[],13,1,"[(242, 254, 13)]"
